ISO 8859-1,,,,UTF-8,,,,,,,,,,,,,,,,,,
"Character
Number",Character,Hex,,"Unicode
code point",Character,"UTF-8
(hex)",Character Name,Block,,,,,,,,,,,,,,
186,º,00BA,,U+00BA,º,c2 ba,MASCULINE ORDINAL INDICATOR,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
187,»,00BB,,U+00BB,»,c2 bb,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
191,¿,00BF,,U+00BF,¿,c2 bf,INVERTED QUESTION MARK,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
222,Þ,00DE,,U+00DE,Þ,c3 9e,LATIN CAPITAL LETTER THORN,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
223,ß,00DF,,U+00DF,ß,c3 9f,LATIN SMALL LETTER SHARP S,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
254,þ,00FE,,U+00FE,þ,c3 be,LATIN SMALL LETTER THORN,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
,,,,U+014A,Ŋ,c5 8a,LATIN CAPITAL LETTER ENG,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
,,,,U+014B,ŋ,c5 8b,LATIN SMALL LETTER ENG,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
,,,,U+017F,ſ,c5 bf,LATIN SMALL LETTER LONG S,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
188,¼,00BC,,U+00BC,¼,c2 bc,VULGAR FRACTION ONE QUARTER,,U+0031,1,31,DIGIT ONE,,U+002F,/,2f,SOLIDUS,,U+0034,4,34,DIGIT FOUR
189,½,00BD,,U+00BD,½,c2 bd,VULGAR FRACTION ONE HALF,,U+0031,1,31,DIGIT ONE,,U+002F,/,2f,SOLIDUS,,U+0032,2,32,DIGIT TWO
190,¾,00BE,,U+00BE,¾,c2 be,VULGAR FRACTION THREE QUARTERS,,U+0033,3,33,DIGIT THREE,,U+002F,/,2f,SOLIDUS,,U+0034,4,34,DIGIT FOUR
198,Æ,00C6,,U+00C6,Æ,c3 86,LATIN CAPITAL LETTER AE,,U+0041,A,41,LATIN CAPITAL LETTER A,,U+0045,E,45,LATIN CAPITAL LETTER E,,,,,
230,æ,00E6,,U+00E6,æ,c3 a6,LATIN SMALL LETTER AE,,U+0061,a,61,LATIN SMALL LETTER A,,U+0065,e,65,LATIN SMALL LETTER E,,,,,
,,,,U+0132,Ĳ,c4 b2,LATIN CAPITAL LIGATURE IJ,,U+0049,I,49,LATIN CAPITAL LETTER I,,U+004A,J,4a,LATIN CAPITAL LETTER J,,,,,
,,,,U+0133,ĳ,c4 b3,LATIN SMALL LIGATURE IJ,,U+0069,i,69,LATIN SMALL LETTER I,,U+006A,j,6a,LATIN SMALL LETTER J,,,,,
,,,,U+0152,Œ,c5 92,LATIN CAPITAL LIGATURE OE,,U+004F,O,4f,LATIN CAPITAL LETTER O,,U+0045,E,45,LATIN CAPITAL LETTER E,,,,,
,,,,U+0153,œ,c5 93,LATIN SMALL LIGATURE OE,,U+006F,o,6f,LATIN SMALL LETTER O,,U+0065,e,65,LATIN SMALL LETTER E,,,,,
180,´,00B4,,U+00B4,´,c2 b4,ACUTE ACCENT,,U+0027,',27,APOSTROPHE,,,,,,,,,,
215,×,00D7,,U+00D7,×,c3 97,MULTIPLICATION SIGN,,U+0078,x,78,LATIN SMALL LETTER X,,,,,,,,,,
247,÷,00F7,,U+00F7,÷,c3 b7,DIVISION SIGN,,U+002F,/,2f,SOLIDUS,,,,,,,,,,
192,À,00C0,,U+00C0,À,c3 80,LATIN CAPITAL LETTER A WITH GRAVE,,U+0041,A,41,LATIN CAPITAL LETTER A,,,,,,,,,,
193,Á,00C1,,U+00C1,Á,c3 81,LATIN CAPITAL LETTER A WITH ACUTE,,U+0041,A,41,LATIN CAPITAL LETTER A,,,,,,,,,,
194,Â,00C2,,U+00C2,Â,c3 82,LATIN CAPITAL LETTER A WITH CIRCUMFLEX,,U+0041,A,41,LATIN CAPITAL LETTER A,,,,,,,,,,
195,Ã,00C3,,U+00C3,Ã,c3 83,LATIN CAPITAL LETTER A WITH TILDE,,U+0041,A,41,LATIN CAPITAL LETTER A,,,,,,,,,,
196,Ä,00C4,,U+00C4,Ä,c3 84,LATIN CAPITAL LETTER A WITH DIAERESIS,,U+0041,A,41,LATIN CAPITAL LETTER A,,,,,,,,,,
197,Å,00C5,,U+00C5,Å,c3 85,LATIN CAPITAL LETTER A WITH RING ABOVE,,U+0041,A,41,LATIN CAPITAL LETTER A,,,,,,,,,,
199,Ç,00C7,,U+00C7,Ç,c3 87,LATIN CAPITAL LETTER C WITH CEDILLA,,U+0043,C,43,LATIN CAPITAL LETTER C,,,,,,,,,,
200,È,00C8,,U+00C8,È,c3 88,LATIN CAPITAL LETTER E WITH GRAVE,,U+0045,E,45,LATIN CAPITAL LETTER E,,,,,,,,,,
201,É,00C9,,U+00C9,É,c3 89,LATIN CAPITAL LETTER E WITH ACUTE,,U+0045,E,45,LATIN CAPITAL LETTER E,,,,,,,,,,
202,Ê,00CA,,U+00CA,Ê,c3 8a,LATIN CAPITAL LETTER E WITH CIRCUMFLEX,,U+0045,E,45,LATIN CAPITAL LETTER E,,,,,,,,,,
203,Ë,00CB,,U+00CB,Ë,c3 8b,LATIN CAPITAL LETTER E WITH DIAERESIS,,U+0045,E,45,LATIN CAPITAL LETTER E,,,,,,,,,,
204,Ì,00CC,,U+00CC,Ì,c3 8c,LATIN CAPITAL LETTER I WITH GRAVE,,U+0049,I,49,LATIN CAPITAL LETTER I,,,,,,,,,,
205,Í,00CD,,U+00CD,Í,c3 8d,LATIN CAPITAL LETTER I WITH ACUTE,,U+0049,I,49,LATIN CAPITAL LETTER I,,,,,,,,,,
206,Î,00CE,,U+00CE,Î,c3 8e,LATIN CAPITAL LETTER I WITH CIRCUMFLEX,,U+0049,I,49,LATIN CAPITAL LETTER I,,,,,,,,,,
207,Ï,00CF,,U+00CF,Ï,c3 8f,LATIN CAPITAL LETTER I WITH DIAERESIS,,U+0049,I,49,LATIN CAPITAL LETTER I,,,,,,,,,,
208,Ð,00D0,,U+00D0,Ð,c3 90,LATIN CAPITAL LETTER ETH,,U+0044,D,44,LATIN CAPITAL LETTER D,,,,,,,,,,
209,Ñ,00D1,,U+00D1,Ñ,c3 91,LATIN CAPITAL LETTER N WITH TILDE,,U+004E,N,4e,LATIN CAPITAL LETTER N,,,,,,,,,,
210,Ò,00D2,,U+00D2,Ò,c3 92,LATIN CAPITAL LETTER O WITH GRAVE,,U+004F,O,4f,LATIN CAPITAL LETTER O,,,,,,,,,,
211,Ó,00D3,,U+00D3,Ó,c3 93,LATIN CAPITAL LETTER O WITH ACUTE,,U+004F,O,4f,LATIN CAPITAL LETTER O,,,,,,,,,,
212,Ô,00D4,,U+00D4,Ô,c3 94,LATIN CAPITAL LETTER O WITH CIRCUMFLEX,,U+004F,O,4f,LATIN CAPITAL LETTER O,,,,,,,,,,
213,Õ,00D5,,U+00D5,Õ,c3 95,LATIN CAPITAL LETTER O WITH TILDE,,U+004F,O,4f,LATIN CAPITAL LETTER O,,,,,,,,,,
214,Ö,00D6,,U+00D6,Ö,c3 96,LATIN CAPITAL LETTER O WITH DIAERESIS,,U+004F,O,4f,LATIN CAPITAL LETTER O,,,,,,,,,,
216,Ø,00D8,,U+00D8,Ø,c3 98,LATIN CAPITAL LETTER O WITH STROKE,,U+004F,O,4f,LATIN CAPITAL LETTER O,,,,,,,,,,
217,Ù,00D9,,U+00D9,Ù,c3 99,LATIN CAPITAL LETTER U WITH GRAVE,,U+0055,U,55,LATIN CAPITAL LETTER U,,,,,,,,,,
218,Ú,00DA,,U+00DA,Ú,c3 9a,LATIN CAPITAL LETTER U WITH ACUTE,,U+0055,U,55,LATIN CAPITAL LETTER U,,,,,,,,,,
219,Û,00DB,,U+00DB,Û,c3 9b,LATIN CAPITAL LETTER U WITH CIRCUMFLEX,,U+0055,U,55,LATIN CAPITAL LETTER U,,,,,,,,,,
220,Ü,00DC,,U+00DC,Ü,c3 9c,LATIN CAPITAL LETTER U WITH DIAERESIS,,U+0055,U,55,LATIN CAPITAL LETTER U,,,,,,,,,,
221,Ý,00DD,,U+00DD,Ý,c3 9d,LATIN CAPITAL LETTER Y WITH ACUTE,,U+0059,Y,59,LATIN CAPITAL LETTER Y,,,,,,,,,,
224,à,00E0,,U+00E0,à,c3 a0,LATIN SMALL LETTER A WITH GRAVE,,U+0061,a,61,LATIN SMALL LETTER A,,,,,,,,,,
225,á,00E1,,U+00E1,á,c3 a1,LATIN SMALL LETTER A WITH ACUTE,,U+0061,a,61,LATIN SMALL LETTER A,,,,,,,,,,
226,â,00E2,,U+00E2,â,c3 a2,LATIN SMALL LETTER A WITH CIRCUMFLEX,,U+0061,a,61,LATIN SMALL LETTER A,,,,,,,,,,
227,ã,00E3,,U+00E3,ã,c3 a3,LATIN SMALL LETTER A WITH TILDE,,U+0061,a,61,LATIN SMALL LETTER A,,,,,,,,,,
228,ä,00E4,,U+00E4,ä,c3 a4,LATIN SMALL LETTER A WITH DIAERESIS,,U+0061,a,61,LATIN SMALL LETTER A,,,,,,,,,,
229,å,00E5,,U+00E5,å,c3 a5,LATIN SMALL LETTER A WITH RING ABOVE,,U+0061,a,61,LATIN SMALL LETTER A,,,,,,,,,,
